file,line,detail
ring_buf.h,270,succeed,task_id,51,predecessor_cnt,2,predecessor_id,46,idx,4
ring_buf.h,227,new,task_id,51, type,0
ring_buf.h,270,succeed,task_id,52,predecessor_cnt,2,predecessor_id,46,idx,5
ring_buf.h,227,new,task_id,52, type,0
ring_buf.h,270,succeed,task_id,53,predecessor_cnt,2,predecessor_id,46,idx,6
ring_buf.h,227,new,task_id,53, type,0
ring_buf.h,270,succeed,task_id,54,predecessor_cnt,2,predecessor_id,46,idx,7
ring_buf.h,227,new,task_id,54, type,0
ring_buf.h,270,succeed,task_id,55,predecessor_cnt,2,predecessor_id,46,idx,8
ring_buf.h,227,new,task_id,55, type,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,2,predecessor_id,47,idx,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,3,predecessor_id,48,idx,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,4,predecessor_id,49,idx,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,5,predecessor_id,50,idx,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,6,predecessor_id,51,idx,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,7,predecessor_id,52,idx,0
ring_buf.h,270,succeed,task_id,56,predecessor_cnt,8,predecessor_id,54,idx,0
ring_buf.h,227,new,task_id,56, type,1
ring_buf.h,227,new,task_id,57, type,1
ring_buf.h,234,enqueue,task_id,57, type,1, ctrl_id,0, cnt,5
ring_buf.h,270,succeed,task_id,58,predecessor_cnt,2,predecessor_id,57,idx,0
ring_buf.h,227,new,task_id,58, type,0
ring_buf.h,270,succeed,task_id,59,predecessor_cnt,2,predecessor_id,57,idx,1
ring_buf.h,227,new,task_id,59, type,0
ring_buf.h,270,succeed,task_id,60,predecessor_cnt,2,predecessor_id,57,idx,2
ring_buf.h,227,new,task_id,60, type,0
ring_buf.h,270,succeed,task_id,61,predecessor_cnt,2,predecessor_id,57,idx,3
ring_buf.h,227,new,task_id,61, type,0
ring_buf.h,270,succeed,task_id,62,predecessor_cnt,2,predecessor_id,57,idx,4
ring_buf.h,227,new,task_id,62, type,0
ring_buf.h,270,succeed,task_id,63,predecessor_cnt,2,predecessor_id,57,idx,5
ring_buf.h,227,new,task_id,63, type,0
ring_buf.h,270,succeed,task_id,64,predecessor_cnt,2,predecessor_id,57,idx,6
ring_buf.h,227,new,task_id,64, type,0
